State_Teritory_Tribal_Nation,Total_Billions, Pop_Estimate_2020 ,PopGroup,Region,state_postal,total_area_sq_mi,Vote
CALIFORNIA,18.4,39503200,9M+,West Region,CA,163694.74,Biden
TEXAS,14.2,29234361,9M+,South Region,TX,268596.46,Trump
FLORIDA,8.2,21591299,9M+,South Region,FL,65757.7,Trump
NEW YORK,10.1,20104710,9M+,Northeast Region,NY,54554.98,Biden
PENNSYLVANIA,8.1,12995477,9M+,Northeast Region,PA,46054.34,Biden
ILLINOIS,8.4,12790357,9M+,Midwest Region,IL,57913.55,Biden
OHIO,6.6,11798292,9M+,Midwest Region,OH,44825.58,Trump
GEORGIA,5,10732390,9M+,South Region,GA,59425.15,Biden
NORTH CAROLINA,4.5,10453812,9M+,South Region,NC,53819.16,Trump
MICHIGAN,5.2,10070627,9M+,Midwest Region,MI,96713.51,Biden
NEW JERSEY,5.1,9272392,9M+,Northeast Region,NJ,8722.58,Biden
VIRGINIA,4.5,8637193,5-9M,South Region,VA,42774.93,Biden
WASHINGTON,4,7724566,5-9M,West Region,WA,71297.95,Biden
ARIZONA,3.5,7186683,5-9M,West Region,AZ,113990.3,Biden
MASSACHUSETTS,3.6,6997713,5-9M,Northeast Region,MA,10554.39,Biden
TENNESSEE,3.7,6926091,5-9M,South Region,TN,42144.25,Trump
INDIANA,3.4,6789098,5-9M,Midwest Region,IN,36419.55,Trump
MARYLAND,2.7,6173689,5-9M,South Region,MD,12405.93,Biden
MISSOURI,3.8,6154426,5-9M,Midwest Region,MO,69706.99,Trump
WISCONSIN,2.8,5896700,5-9M,Midwest Region,WI,65496.38,Biden
COLORADO,3.2,5785219,5-9M,West Region,CO,104093.67,Biden
MINNESOTA,2.7,5710578,5-9M,Midwest Region,MN,86935.83,Biden
SOUTH CAROLINA,2.3,5132151,5-9M,South Region,SC,32020.49,Trump
ALABAMA,3,5031864,5-9M,South Region,AL,52420.07,Trump
LOUISIANA,4.3,4652022,2-5M,South Region,LA,52378.13,Trump
KENTUCKY,3.9,4508155,2-5M,South Region,KY,40407.8,Trump
OREGON,2.3,4245044,2-5M,West Region,OR,98378.54,Biden
OKLAHOMA,2.9,3965234,2-5M,South Region,OK,69898.87,Trump
CONNECTICUT,2.5,3577586,2-5M,Northeast Region,CT,5543.41,Biden
UTAH,1.8,3283982,2-5M,West Region,UT,84896.88,Trump
IOWA,2.4,3190904,2-5M,Midwest Region,IA,56272.81,Trump
NEVADA,1.7,3115840,2-5M,West Region,NV,110571.82,Biden
ARKANSAS,2.8,3014348,2-5M,South Region,AR,53178.55,Trump
MISSISSIPPI,2.3,2958409,2-5M,South Region,MS,48431.78,Trump
KANSAS,1.5,2938124,2-5M,Midwest Region,KS,82278.36,Trump
NEW MEXICO,2.6,2118488,2-5M,West Region,NM,121590.3,Biden
NEBRASKA,1.3,1963273,0-2M,Midwest Region,NE,77347.81,Trump
IDAHO,1.2,1849339,0-2M,West Region,ID,83568.95,Trump
WEST VIRGINIA,2,1791562,0-2M,South Region,WV,24230.04,Trump
HAWAII,1,1451181,0-2M,West Region,HI,10931.72,Biden
NEW HAMPSHIRE,0.7518,1378702,0-2M,Northeast Region,NH,9349.16,Biden
MAINE,1.1,1364517,0-2M,Northeast Region,ME,35379.74,Biden
RHODE ISLAND,1.1,1096444,0-2M,Northeast Region,RI,1544.89,Biden
MONTANA,3.3,1087211,0-2M,West Region,MT,147039.71,Trump
DELAWARE,0.792,991862,0-2M,South Region,DE,2488.72,Biden
SOUTH DAKOTA,1.3,887852,0-2M,Midwest Region,SD,77115.68,Trump
NORTH DAKOTA,1.8,779563,0-2M,Midwest Region,ND,70698.32,Trump
ALASKA,3.7,732964,0-2M,West Region,AK,665384.04,Trump
DISTRICT OF COLUMBIA,1.1,670839,0-2M,South Region,DC,68.34,Biden
VERMONT,0.8521,642936,0-2M,Northeast Region,VT,9616.36,Biden
WYOMING,2.3,577664,0-2M,West Region,WY,97813.01,Trump
